r,l,t
9.0,9,0.018679
24.0,24,0.025948
12.0,12,0.029071
27.0,27,0.035955
19.0,19,0.046203
33.0,33,0.053658
26.0,26,0.058889
14.0,14,0.063102
13.0,13,0.070498
16.0,16,0.074941
37.0,37,0.082506
24.0,24,0.088845
52.0,52,0.105336
21.0,21,0.110135
24.0,24,0.116451
23.0,23,0.121532
16.0,16,0.129362
26.0,26,0.136457
12.0,12,0.139296
44.0,44,0.150054
11.0,11,0.157561
22.0,22,0.16254
29.0,29,0.169653
13.0,13,0.172325
51.0,51,0.188994
11.0,11,0.19136
20.0,20,0.195729
28.0,28,0.202178
32.0,32,0.213187
16.0,16,0.217185
16.0,16,0.221133
71.0,71,0.237675
15.0,15,0.245273
18.0,18,0.24977
27.0,27,0.256021
24.0,24,0.260747
19.0,19,0.269797
16.0,16,0.273794
27.0,27,0.278778
18.0,18,0.282973
22.0,22,0.291981
19.0,19,0.298554
22.0,22,0.307706
12.0,12,0.648291
16.0,16,0.657227
11.0,11,0.66047
15.0,15,0.666077
15.0,15,0.66958
12.0,12,0.676403
16.0,16,0.682099
18.0,18,0.687887
62.0,62,0.703436
15.0,15,0.713672
13.0,13,0.716525
11.0,11,0.719766
38.0,38,0.730296
18.0,18,1.065417
21.0,21,1.071577
21.0,21,1.076991
13.0,13,1.080574
45.0,45,1.098618
11.0,11,1.101767
11.0,11,1.105069
14.0,14,1.108969
24.0,24,1.120881
15.0,15,1.12486
10.0,10,1.127892
26.0,26,1.135722
22.0,22,1.146159
16.0,16,1.500726
21.0,21,1.508819
18.0,18,1.513739
46.0,46,1.535247
54.0,54,1.553609
32.0,32,1.566013
20.0,20,1.571744
12.0,12,1.579907
19.0,19,1.586608
42.0,42,1.953597
19.0,19,1.95853
44.0,44,1.976408
22.0,22,1.983447
56.0,56,2.0006
14.0,14,2.004003
51.0,51,2.024625
41.0,41,2.365945
16.0,16,2.37015
21.0,21,2.376428
27.0,27,2.391015
17.0,17,2.395292
33.0,33,2.407658
25.0,25,2.415414
36.0,36,2.4317
57.0,57,2.450355
23.0,23,2.856452
30.0,30,2.865693
31.0,31,2.88162
35.0,35,2.893758
46.0,46,2.908052
17.0,17,2.914009
80.0,80,2.944409
44.0,44,3.392868
52.0,52,3.409757
19.0,19,3.414753
28.0,28,3.428729
43.0,43,3.4443
14.0,14,3.449014
71.0,71,3.474618
21.0,21,3.890979
36.0,36,3.903289
52.0,52,3.92258
41.0,41,3.937741
13.0,13,3.946143
30.0,30,3.956712
23.0,23,3.967037
20.0,20,3.973301
35.0,35,4.398366
38.0,38,4.414415
115.0,115,4.456162
13.0,13,4.46278
54.0,54,4.48786
13.0,13,4.492365
15.0,15,4.908156
24.0,24,4.914967
88.0,88,4.952236
32.0,32,4.964761
14.0,14,4.970877
66.0,66,4.993201
59.0,59,5.441938
81.0,81,5.474207
21.0,21,5.48193
19.0,19,5.488302
31.0,31,5.508092
36.0,36,5.522832
44.0,44,5.97633
94.0,94,6.011623
65.0,65,6.038661
14.0,14,6.043998
28.0,28,6.053713
86.0,86,6.488962
67.0,67,6.523213
95.0,95,6.562339
44.0,44,6.582228
37.0,37,6.994088
174.0,174,7.067236
31.0,31,7.079
61.0,61,7.518776
11.0,11,7.523485
12.0,12,7.537981
13.0,13,7.544887
86.0,86,7.584373
25.0,25,7.595512
16.0,16,7.607953
82.0,82,8.068099
94.0,94,8.105422
46.0,46,8.122783
22.0,22,8.137402
17.0,17,8.142104
43.0,43,8.159729
55.0,55,8.599741
18.0,18,8.6119
24.0,24,8.621403
63.0,63,8.648782
71.0,71,8.68223
74.0,74,9.121267
13.0,13,9.127342
17.0,17,9.132868
16.0,16,9.139787
21.0,21,9.154292
17.0,17,9.162282
17.0,17,9.169289
19.0,19,9.1775
17.0,17,9.193706
18.0,18,9.202275
22.0,22,9.212799
33.0,33,9.227567
117.0,117,9.694315
108.0,108,9.742287
107.0,107,10.18644
92.0,92,10.226843
18.0,18,10.240708
85.0,85,10.709438
87.0,87,10.749503
13.0,13,10.756369
20.0,20,10.774014
17.0,17,10.782928
