r,l,t
-438.770021,105,3.050058
-333.861261,91,3.360594
-37.268821,62,3.562904
-189.007345,61,3.757262
-242.491972,82,4.040074
-32.343375,115,4.43171
-207.850652,89,4.728653
-760.983334,107,5.283967
-443.467825,87,5.769599
-513.820492,94,6.647589
-191.430379,138,8.273878
-357.463538,68,9.111389
-567.898236,128,10.33848
-568.324245,135,11.527839
-610.43034,95,12.080419
-596.103365,120,12.722625
-271.521147,82,13.269573
-512.389187,74,13.708637
-709.833991,95,14.388611
-124.820076,71,15.006238
-295.994465,82,15.599258
-526.548641,72,16.045958
-351.888608,76,16.564388
-499.877456,140,17.826874
-584.711874,170,19.129534
-723.918675,159,20.548414
-127.094388,61,21.01727
-353.738674,117,21.508758
-338.238867,164,22.118702
-370.216322,125,22.565826
-648.134884,140,23.048094
-445.806955,80,23.320521
-428.77986,135,23.785153
-200.867751,104,24.144993
-232.580515,67,24.365083
-174.573225,109,24.72995
-393.725107,171,25.676674
-275.961905,122,26.638107
-325.508504,124,27.446187
-120.640553,300,29.964595
-288.982254,98,30.293991
-472.436646,207,31.033331
-328.970253,207,31.77452
-236.534016,188,32.453304
-272.690172,219,33.261407
-205.293629,238,34.160349
-463.333094,116,34.550041
-377.808568,116,34.929645
-273.775215,146,35.428776
-253.031215,84,35.719935
-295.65371,159,36.29146
-370.069402,123,36.71107
-284.95962,116,37.08809
-250.193608,121,37.502526
-368.206837,262,38.532486
-176.300871,160,39.059907
-247.802005,208,39.793939
-363.750756,157,40.338886
-360.644473,100,40.666122
-269.647124,98,40.985425
-241.28575,98,41.303969
-227.543107,89,41.591396
-409.716401,124,42.006892
-303.84201,108,42.381962
-492.262047,124,42.797276
-309.215008,93,43.095156
-390.82857,105,43.466229
-345.134888,108,43.815249
-302.729867,96,44.121038
-501.705361,97,44.435189
-461.701308,102,44.773452
-468.784831,111,45.130151
-477.096948,119,45.522032
-264.75821,91,45.824558
-260.756172,108,46.183938
-224.635521,81,46.462597
-154.83808,74,46.694969
-506.940245,106,47.04396
-273.51719,118,47.437754
-317.369414,124,47.854929
-523.554903,149,48.348192
-277.869555,92,48.658427
-588.825735,153,49.173872
-311.152681,114,49.559589
-279.057474,113,49.911262
-97.400263,65,50.118623
-195.513637,87,50.399083
-226.139033,99,50.727348
-638.250119,272,51.761047
-331.453373,277,52.909482
-510.670037,148,53.431521
-231.044709,114,53.825512
-49.229772,143,54.30492
-361.243685,258,55.231739
-576.858566,220,56.00923
-538.712157,212,56.81093
-446.404987,125,57.234694
-519.477663,207,58.002989
-408.065725,182,58.667483
-8.478332,142,59.150204
-411.43103,107,59.504221
-614.989602,148,60.036418
-358.525366,86,60.321827
-350.85735,285,61.457301
-537.129916,249,62.431624
-480.183737,313,63.68234
-69.07694,273,64.715953
-347.330116,144,65.239377
-109.013572,359,66.843824
-405.132536,313,68.177916
-94.470772,109,68.551291
-384.069602,212,69.349475
-449.540373,469,71.433657
-273.902524,462,73.495765
40.105594,1000,80.872073
-295.999765,227,81.680919
-195.363841,256,82.621417
-262.512446,175,83.22554
47.690369,1000,90.121513
-79.766851,1000,95.968493
219.463955,791,100.34483
209.858836,441,102.392674
3.433403,295,103.664385
165.286522,716,108.234758
132.268302,564,111.76186
-242.164425,848,115.793283
-17.223547,1000,122.845818
-131.103933,1000,127.631291
-93.12817,1000,132.552213
-73.300723,1000,141.154859
-10.452009,1000,148.23492
-38.192653,1000,157.574422
-127.829526,1000,163.857703
-81.352578,1000,170.522667
-80.960543,1000,176.352469
-94.246322,1000,183.047693
-90.902269,1000,188.856311
-14.894479,1000,194.177031
-98.395565,1000,200.588192
-24.821816,1000,205.574477
-67.368422,1000,212.127909
-54.67593,1000,217.555466
-22.96262,1000,225.267473
-90.57344,1000,231.178926
-53.971628,1000,236.399572
-54.949443,1000,243.556102
-86.652639,1000,250.009636
-33.668724,1000,258.901758
-98.655512,1000,266.834828
-36.667697,1000,272.462426
-153.762188,1000,278.961794
-178.212462,596,281.970347
-69.070056,1000,287.021679
-90.365007,1000,293.892689
-46.492376,1000,301.011931
-62.40048,1000,305.949913
74.91939,914,311.107547
8.951801,1000,316.629536
-20.846927,1000,325.838082
-83.610671,1000,332.810531
-20.16694,1000,338.25333
-18.562619,1000,344.801783
-145.878497,328,346.193408
105.274503,784,350.608414
141.332628,718,353.833589
-158.039143,173,354.470256
-135.499074,195,355.192389
-170.064388,146,355.691777
-153.031036,103,356.030973
-107.04046,230,356.87868
-117.354983,123,357.293752
-117.186976,142,357.813514
-100.23073,136,358.293306
-77.129307,318,359.56818
-87.083635,168,360.138789
-103.977754,159,360.675395
-72.76692,139,361.164334
-77.269103,280,362.207906
30.013419,1000,367.713723
-121.303596,229,368.54707
-128.585419,132,368.999596
-121.972751,143,369.502983
-43.676738,232,370.372455
213.74513,440,372.323316
-128.966089,156,372.868936
-80.188632,164,373.442221
187.15903,386,375.04509
-46.496903,226,375.862163
151.805305,374,377.403072
-89.156122,210,378.198548
-75.769125,168,378.804891
187.087161,421,380.848473
-126.022773,173,381.467446
-104.748402,204,382.195084
-36.93739,249,383.217237
-92.583293,150,383.746816
-114.748122,221,384.519265
-92.279208,129,384.96455
-90.761259,153,385.490409
174.154287,330,386.932326
-71.571445,160,387.48267
-82.624352,221,388.271792
-86.020065,155,388.796597
-59.556427,152,389.304252
229.466226,257,390.338076
-59.621181,179,391.003494
-42.155467,179,391.64594
213.4863,324,393.101247
278.022517,599,395.7168
173.637969,317,397.089488
-79.137419,333,398.502854
112.469392,355,400.096509
-88.72575,173,400.667707
158.076101,229,401.530279
123.90867,281,402.675152
-105.715972,152,403.214649
-73.885244,157,403.770869
222.146621,288,404.852997
-98.792245,225,405.681695
-84.443551,128,406.138677
-124.067453,143,406.640914
-25.484607,138,407.124641
-213.985826,267,408.198511
128.272687,280,409.295006
246.894596,458,411.343754
30.945978,240,412.219571
231.673892,600,415.250998
295.768043,451,417.275301
-53.469538,181,417.90115
233.241667,294,419.113101
-23.259944,215,419.954246
-77.027408,278,421.022208
177.252896,592,424.082644
148.517888,339,425.574706
8.062305,261,426.579577
-192.214621,452,428.498297
209.159374,358,430.14304
167.620646,376,431.902967
118.440294,402,433.7402
126.574457,729,438.091476
146.034455,916,443.203306
183.493472,438,445.20582
-69.421945,355,446.664816
-18.990614,212,447.510913
-43.971221,1000,452.851959
-87.157059,503,455.372833
-58.018847,1000,460.569239
147.187598,451,462.801679
-64.685326,332,464.245311
-156.382821,548,466.938505
-110.182796,482,469.229597
-137.124676,569,472.070899
-29.283908,347,473.634012
-115.626049,373,475.2465
-68.658054,354,476.729841
-118.56258,295,477.996465
-176.016347,899,482.649679
-170.597702,440,484.835649
-11.633735,355,486.397404
187.612273,296,487.605922
179.842061,591,491.374492
187.665222,592,494.295812
168.144385,397,496.152701
192.83678,668,499.827173
-48.073784,344,501.338153
101.720447,766,505.666283
155.452182,471,508.008988
78.860584,1000,514.279469
195.560003,510,516.808154
248.67895,525,519.564214
247.048803,546,522.481994
31.533931,1000,531.435483
-251.095509,212,532.175348
162.807894,797,537.830539
21.627004,1000,543.104406
191.257287,409,544.971735
258.906946,463,547.021134
245.488476,255,548.082889
270.885834,530,550.574156
