r,l,t
-203.880089,67,0.077919
-291.888628,139,0.166024
-53.05842,72,0.20593
-203.226555,106,0.266905
-63.247723,89,0.318171
-456.889298,94,0.367899
-248.278266,112,0.427785
-21.473081,78,0.46842
-63.085235,90,0.519558
-74.612723,68,0.555057
-57.527222,66,0.586822
-99.451672,98,0.663028
-382.783972,102,0.718377
-253.317145,149,0.826561
-80.401594,77,0.891031
-68.821741,65,0.928947
-249.987026,74,0.973415
-85.988585,132,1.056463
-161.034424,147,1.149008
-349.946493,103,1.207267
-220.342767,106,1.277097
-60.365904,125,1.349548
-65.398249,85,1.393651
-173.067034,134,1.481172
-438.791386,76,1.52262
-370.404867,93,1.578188
-298.524139,102,1.634853
-446.062863,132,1.741813
-323.217695,114,1.854855
-48.044569,98,1.968158
-279.409347,85,2.021938
-239.950597,97,2.07497
-217.032523,114,2.139131
-89.120378,75,2.178085
-411.432672,83,2.234802
-318.744668,124,2.307886
-67.632921,153,2.428211
-373.533584,97,2.486525
-64.802902,75,2.527125
-127.032001,176,2.660721
-150.727676,157,2.759716
-214.963629,146,2.84533
-169.569158,131,2.929142
-261.152105,91,2.986031
-82.941403,119,3.061421
-92.703147,172,3.181688
-323.194251,102,3.238783
-13.359052,151,3.344369
-398.054286,142,3.431909
-234.827419,104,3.497089
-292.896534,148,3.598873
-135.828674,96,3.64909
-284.37094,89,3.696954
-74.653208,115,3.763487
-365.362431,103,3.824038
-62.24919,77,3.87429
-241.271389,155,3.983405
-86.022844,106,4.046573
-113.470099,168,4.154337
-253.202767,89,4.211708
-73.236853,85,4.265234
-262.899065,89,4.312086
-467.297189,162,4.41198
-39.189439,93,4.464088
-105.565871,92,4.522966
-303.833388,95,4.577547
-100.808423,90,4.624698
-5.184302,117,4.690789
-121.533055,103,4.754367
-373.868883,87,4.80703
-186.50066,67,4.84764
-420.158273,121,4.915295
-358.709394,129,5.006981
-110.134965,94,5.057224
-345.357176,97,5.11793
-146.260121,158,5.34293
-355.818928,84,5.437966
-220.667114,127,5.57142
-52.418489,120,5.722965
-175.451359,121,5.838282
-418.738367,90,5.920447
-58.570621,96,6.023588
-169.497488,152,6.19261
-302.736893,113,6.300486
-105.738256,90,6.386938
-152.155355,70,6.448541
-182.431644,92,6.532948
-155.72049,108,6.683528
-287.03969,108,6.807218
-356.045086,95,6.927563
-122.301919,120,7.151332
-554.075771,140,7.369814
-105.080306,85,7.491713
-390.439593,180,10.723235
-243.305474,181,16.452748
-683.994474,207,20.603866
-431.449929,75,23.816625
-979.423126,96,25.238539
-319.123962,160,27.225839
-135.73199,1000,33.239332
-120.88592,1000,58.30023
-227.650136,833,80.639676
-218.434992,526,96.611967
-180.81244,1000,110.569495
-372.503592,651,130.087445
-8.066977,1000,144.727706
-16.470284,1000,166.555382
-12.017275,1000,188.445313
74.093672,1000,209.823
23.955655,1000,230.714102
-309.825118,310,248.854675
-217.219273,395,255.043708
-52.506709,1000,265.21804
-32.323276,1000,286.308818
-161.797572,268,304.438455
-257.267387,294,310.472794
151.584362,594,318.062119
-245.894742,387,329.960006
1.33432,1000,343.098998
-392.998844,518,362.441511
-514.248599,518,373.345365
-42.525654,1000,387.715931
-169.711521,360,406.019589
-45.605025,1000,417.026635
-460.340716,788,437.305034
-161.703099,361,452.06473
-256.293654,301,459.048433
-204.303776,293,464.931492
-239.958171,466,471.368397
-103.910786,240,479.878882
-200.489035,487,485.402849
-167.111322,546,495.808735
-20.666779,1000,509.705283
-39.234714,1000,531.119954
3.780612,1000,552.904862
25.813037,1000,575.381069
-34.640691,1000,599.291763
13.735537,1000,622.646503
11.927075,1000,643.821376
-39.188927,1000,666.349033
-347.097457,812,686.730597
-102.824979,187,701.348332
-13.07556,155,704.857641
21.833864,1000,712.326324
-10.017791,1000,736.128818
-249.242402,291,754.784621
-68.658494,117,760.312173
-54.393234,142,762.640974
-204.88591,295,765.790165
-9.058971,150,771.490808
-434.032644,681,776.902982
-25.569608,104,789.472574
14.673306,140,791.55049
-215.027445,458,794.934748
9.806105,1000,807.106048
-206.130345,180,825.462133
-44.482562,121,828.904094
-316.248831,758,833.979298
-76.847163,201,848.185023
-341.039701,423,852.698557
-309.499533,632,862.241269
-146.500447,244,874.13908
-132.103648,400,879.47083
-109.652202,154,886.917947
-15.521472,1000,893.386028
-189.382547,195,912.117922
-209.150894,232,915.983259
-56.830345,68,920.492049
-293.376452,507,923.138936
-69.506614,1000,937.09859
-174.076207,942,958.758055
-245.327097,264,976.789178
-64.655052,1000,985.164538
-43.743951,1000,1010.406218
-63.851772,1000,1035.1129
-130.617957,1000,1057.354707
127.107011,798,1079.036997
143.88636,1000,1097.221712
151.999526,811,1119.515327
70.98479,173,1135.469375
223.134142,528,1140.280414
62.430683,1000,1154.837607
-247.250988,348,1175.107368
164.176281,605,1183.094295
-11.851492,1000,1198.926185
275.051714,245,1219.347993
136.017209,671,1226.39907
305.490575,474,1240.946021
-4.25942,198,1250.798686
242.68496,206,1255.165587
-186.117936,944,1262.865619
222.936043,347,1282.95103
-46.402165,133,1290.366574
-18.303112,87,1293.28551
210.362502,434,1295.993856
217.079878,325,1305.667644
71.000391,176,1312.796517
-17.43303,92,1316.737942
-22.836014,93,1318.860391
-105.261132,444,1321.732147
37.585124,125,1331.565296
8.390233,128,1334.446487
37.281189,138,1337.465333
-233.820586,229,1340.847861
234.898466,253,1346.155182
-389.425998,254,1352.107129
23.727645,151,1357.864161
27.25295,139,1361.381636
15.202693,144,1364.56558
-5.296026,110,1367.89529
-1.922886,128,1370.491598
-64.565059,131,1373.50202
-98.271576,130,1376.587521
-54.607948,137,1379.627153
-45.984044,124,1382.764927
-47.498333,133,1385.634986
-60.080769,172,1388.819252
-7.223572,155,1392.83368
-19.137481,127,1396.415493
-109.38082,214,1399.620435
-47.411717,101,1404.540946
-117.479636,241,1407.160806
23.327816,1000,1416.730667
247.722234,438,1440.368274
-22.223454,149,1450.589972
-27.643078,161,1454.218857
75.237734,1000,1462.258304
-34.655173,1000,1488.347615
86.724432,773,1514.43771
4.531273,200,1533.096489
18.585866,145,1538.08593
215.614456,245,1541.917402
220.8931,242,1548.060076
188.03841,331,1554.466585
234.124329,496,1563.620131
-106.836116,190,1575.707766
-202.471865,294,1580.818132
-158.83994,145,1588.095052
8.525672,1000,1595.06689
111.696131,1000,1621.637172
-14.475636,187,1648.716478
-144.053016,364,1653.821911
-155.94948,151,1663.005532
-62.411229,170,1666.945539
-2.853756,1000,1674.034204
-135.57377,309,1699.353268
212.592155,220,1707.32618
35.025532,1000,1715.894997
69.876044,1000,1744.337565
186.901142,437,1770.601049
257.867389,408,1782.578058
181.133994,368,1793.614817
198.543342,267,1803.420459
9.741247,163,1810.497398
198.5113,286,1815.02589
-41.147252,126,1822.52687
-144.069377,463,1826.73488
-72.279682,387,1839.565908
224.00691,433,1850.430843
36.409281,1000,1865.187127
78.560738,876,1893.96422
-76.387112,412,1917.546209
-243.484744,369,1928.80727
