r,l,t
-260.330985,123,3.308979
-276.912496,126,3.789926
-121.354511,62,4.019746
-157.803025,79,4.315104
-87.641362,86,4.630617
-205.948748,89,4.98828
-92.113516,74,5.250621
-143.590147,91,5.58493
-238.285982,110,6.037409
-117.210995,89,6.41711
-243.675441,91,6.78194
-311.848357,87,7.143332
-84.24302,120,7.630989
-337.497315,132,8.177785
-212.153809,71,8.462376
-100.537982,124,8.974692
-175.08616,80,9.298922
-229.410247,91,9.671462
-121.124975,74,9.991377
-155.099848,116,10.498108
-80.53902,81,10.836405
-128.423827,94,11.237566
-109.772863,122,11.735999
-81.767601,73,12.037001
-92.538077,126,12.543685
-141.387928,123,13.069124
32.053117,202,13.901891
-28.458209,86,14.261787
-91.500519,86,14.607311
-35.460047,71,14.902196
11.321278,128,15.428807
-147.624857,124,15.936666
-87.627799,124,16.449091
-24.486631,102,16.882159
-100.708991,91,17.236542
-102.162478,107,17.669466
-79.587946,108,18.137519
-112.926626,86,18.489821
-85.243902,81,18.817783
-28.340135,92,19.204073
-116.466257,158,19.867864
-79.562961,233,20.869077
-44.584926,116,21.358356
-88.353959,101,21.76677
-130.438139,199,22.61614
-144.075966,164,23.306769
-36.071496,88,23.661977
-50.376401,146,24.271195
-6.075198,151,24.92338
-67.671611,171,25.666573
-46.231745,155,26.338538
-51.960333,124,26.856646
-150.26266,142,27.475942
-29.570005,87,27.849596
-194.953013,408,29.832802
-42.581267,1000,35.927704
-17.75694,1000,42.11349
-142.509799,570,44.981356
28.256769,1000,50.820299
-87.833618,1000,57.013426
-19.97514,1000,62.815414
-82.185642,1000,69.048764
-5.037322,1000,74.201913
-28.792632,1000,80.57392
-33.312193,1000,87.227778
57.407351,1000,93.0224
-5.036765,1000,99.142432
47.35052,1000,105.847397
17.452709,1000,111.978864
-12.932881,1000,118.468952
252.873304,371,120.322684
201.289237,570,123.499207
234.769128,667,127.076787
237.009159,586,130.013825
172.280209,810,134.857774
250.431284,642,138.158286
43.020492,1000,144.767964
210.86232,540,147.654954
245.532926,400,149.633638
244.269959,341,151.284047
234.15053,799,156.027152
143.654066,910,161.612212
240.101468,305,163.080481
235.713078,399,165.074295
242.823556,452,167.437601
253.706488,489,169.857278
269.357392,633,173.24077
253.41166,270,174.494955
254.954828,239,175.594068
206.010243,430,177.80515
256.62938,495,180.270748
279.691316,432,182.291003
230.116222,466,184.738393
258.007626,504,187.325644
-64.488171,543,190.002843
97.305467,1000,195.124267
57.391248,288,196.483988
-11.018304,1000,201.743253
266.533628,455,204.068089
-81.331944,1000,209.571645
-63.165854,1000,215.200519
260.968442,543,217.77288
115.600217,780,221.731566
215.250087,368,223.536291
273.077739,253,224.72913
268.023014,367,226.548721
241.123018,885,231.644251
41.500968,1000,236.89066
244.858058,285,238.243276
230.585737,653,241.779127
271.068515,293,243.197597
32.659958,255,244.432462
238.237774,327,246.055702
212.960213,515,248.782166
250.752847,429,251.018377
-37.736184,225,252.095306
238.295505,513,254.684426
262.639005,637,258.041587
250.292644,612,261.434048
273.994894,374,263.716762
-30.60182,214,264.954782
245.728018,286,266.867284
275.245146,532,270.260425
287.627694,532,273.168045
4.899469,132,273.819831
265.808168,410,275.921025
270.547357,286,277.357685
279.621747,351,279.175751
-28.897854,1000,285.584411
-19.400157,1000,292.331504
14.333669,1000,298.971703
228.06871,639,302.58279
147.698051,1000,308.592258
184.611943,702,313.221587
187.159682,682,317.07581
257.696364,888,322.520044
280.763306,281,323.990904
245.263933,792,328.77667
187.133677,698,333.2655
213.783999,810,338.439451
244.07926,815,343.267617
259.867475,978,349.764447
286.590223,387,351.986892
285.033967,634,355.811227
69.750338,1000,362.370002
143.75026,1000,368.451261
291.047167,195,369.52877
232.570582,243,370.905913
283.974353,426,373.364197
253.061393,699,377.630318
282.916377,246,379.056866
37.94344,143,379.871293
56.968116,116,380.506645
6.49635,154,381.354039
-10.255541,120,382.030295
126.208434,1000,389.529185
222.473649,445,396.01667
177.227326,1000,402.455554
240.894138,234,403.849402
277.565572,387,406.262325
248.38365,336,408.369967
163.934723,1000,415.189978
-18.628955,164,416.150794
282.849753,358,418.38981
251.633859,735,423.110745
294.875197,238,424.533561
135.052705,1000,430.779112
217.635128,834,436.234398
260.987539,453,442.869493
15.031042,121,444.111922
121.434811,1000,455.019449
189.592561,660,459.404635
258.999178,370,461.669555
-27.956047,120,462.359549
199.389292,1000,468.841975
270.542044,736,473.654695
277.481842,271,475.36226
280.539063,207,476.628153
166.517965,1000,487.912894
145.692938,1000,494.461396
124.145204,1000,501.087872
47.771304,143,501.939184
43.841589,77,502.419612
-36.301019,89,502.938522
55.635137,92,503.497551
-79.595391,85,503.998757
115.877242,1000,510.635306
36.085034,154,511.559444
37.194282,136,512.370369
56.123534,118,513.068689
-4.236558,89,513.598169
19.937136,128,514.375159
180.845835,1000,525.389134
246.344543,672,534.320956
232.69385,382,536.770313
252.479754,285,538.493944
20.188094,86,539.035455
15.159393,108,539.68527
267.515152,296,541.550925
250.508232,491,544.672926
229.728606,500,547.864089
172.092172,1000,554.730861
138.693708,1000,561.575442
307.862294,597,569.392247
142.753869,1000,576.61448
256.553111,601,580.526285
156.652135,1000,587.168684
134.224835,1000,593.56899
290.676726,285,595.323243
153.046005,1000,601.809625
166.046575,1000,608.551613
187.560642,1000,615.31705
131.440971,1000,626.516045
