r,l,t
-63.187218,168,0.200615
-305.2306,106,0.300788
-201.778853,111,0.415038
-330.70384,85,0.495584
-451.987552,107,0.606136
-280.737745,126,0.730295
-354.360366,89,0.83157
-343.927555,207,1.061605
-148.336785,155,1.456148
-148.373773,85,1.558801
-81.430976,83,1.674465
-359.280864,97,1.809825
-329.260783,97,1.911011
-113.571736,103,2.011196
-283.071692,74,2.087028
-351.819539,113,2.194477
-275.910082,98,2.291569
-202.833663,83,2.387076
-131.728909,163,2.891249
-45.709898,91,2.989317
-312.944168,110,3.095329
-415.31669,202,3.32315
-84.395048,76,3.3952
-188.896169,122,3.522729
-287.737228,105,3.622264
-86.569935,140,3.762481
-212.022445,127,4.128978
-347.954613,91,4.2188
-141.196392,144,4.363907
-66.687472,81,4.449242
-97.193309,107,4.553178
-79.098096,90,4.638201
-85.688476,90,4.731673
-483.822691,165,4.990219
-196.085757,117,5.133063
-441.5526,194,5.564743
-79.317828,100,5.662903
-74.664423,142,5.802576
-80.046307,95,5.889423
-37.949695,63,5.947147
-316.024428,132,6.084436
5.702849,133,6.229945
-98.27989,85,6.310199
-93.251832,76,6.396196
-72.136461,87,6.485928
-81.72477,81,6.760328
-75.592246,105,6.867676
-178.275774,153,7.021907
-103.079602,86,7.102211
-43.27836,76,7.18397
-231.138011,96,7.277225
30.419492,83,7.358507
-83.474014,79,7.436487
-172.453022,134,7.592952
-100.576395,166,7.954726
-96.724818,97,8.044512
-438.588181,158,8.214846
-344.655293,155,8.377311
-88.734915,84,8.477776
-262.739653,109,8.667056
-207.812259,136,8.874385
-251.279834,122,9.10465
-425.189107,106,9.34481
-64.614288,85,10.03706
-185.116968,133,10.270156
-212.731026,111,10.430331
-196.784451,113,10.680165
-136.99901,153,10.999887
-106.214108,153,11.315602
-67.505206,95,11.46494
-22.786074,69,11.601131
-51.743755,117,11.898312
-95.533749,172,12.69631
-87.92204,73,12.814205
-101.792688,93,13.013056
27.81074,1000,21.019699
-363.183373,114,21.211934
-20.961907,135,21.427168
-226.549417,158,21.632332
-67.636857,87,21.731479
-92.620855,83,21.80937
-118.06792,86,21.891157
-70.98316,148,22.247823
-229.708257,170,22.424554
-86.670432,101,22.51942
-99.248871,221,22.767515
-144.05229,77,22.840892
-232.407397,110,22.952683
-114.326689,71,23.04146
-39.079363,90,23.125598
-318.249657,183,23.511434
-81.512566,94,23.600618
-188.341057,200,23.817815
-84.592664,80,23.896818
0.559522,80,23.989892
-156.117558,119,24.101079
-44.744504,186,24.324633
-54.376911,93,24.417359
-77.598585,109,24.70619
-78.096215,156,24.866864
-16.103931,91,24.953122
-91.269126,127,25.096183
-57.006005,124,25.221627
-273.666834,178,25.413251
-117.767273,98,25.527368
-198.269271,121,25.64531
-68.554,72,25.711841
-146.724209,179,26.102107
-58.390228,142,26.248143
-36.514432,162,26.409831
-136.083828,104,26.509199
-41.455703,83,26.590487
-58.046125,181,26.809972
-195.277955,178,27.005248
-111.758636,80,27.272586
-105.349775,68,27.340891
-56.659607,114,27.457709
-117.553594,138,27.596455
-21.882722,201,27.8236
-164.866868,154,27.995409
-161.301927,105,28.108996
-81.839286,106,28.216907
-66.524603,108,28.51021
-45.829703,172,28.701908
-86.085558,81,28.778702
-97.811315,93,28.865094
-112.733723,100,28.960254
-205.638546,101,29.064755
-181.501889,149,29.242505
-82.621306,141,29.39531
-101.090162,155,29.558218
-72.310763,71,29.824679
-81.097398,88,29.9125
-112.036396,121,30.027296
-43.209867,81,30.10397
-195.068741,169,30.281907
-75.283817,85,30.369971
-41.800294,97,30.482423
-257.081204,149,30.638006
-48.41479,127,30.759413
-117.882006,201,31.178385
-183.52808,103,31.27932
-266.445339,171,31.467145
-79.812768,151,31.619764
-100.352814,138,31.767496
-121.035262,189,31.980958
-68.217633,161,32.353371
-211.444586,133,32.484772
-63.062555,70,32.549915
-39.288469,131,32.677297
-167.325003,117,32.789246
-69.89288,101,32.899182
-121.1248,99,32.993991
-59.066734,127,33.125723
-65.728002,162,33.303213
-49.761244,149,33.645664
-264.648309,217,33.889466
-102.216908,142,34.027284
-20.729896,90,34.137002
-4.252883,141,34.292776
-149.272219,166,34.472097
-242.073085,126,34.598995
-124.154972,139,34.933432
-72.631557,126,35.063917
-141.553983,103,35.162623
-74.005922,99,35.271867
-49.988711,159,35.468229
-140.403036,179,35.669608
-11.118232,121,35.793905
-76.078705,153,36.149203
-156.349862,140,36.300121
-124.023516,134,36.435987
-122.86099,186,36.638235
-50.084093,106,36.751811
-18.733142,138,36.899626
-36.084276,161,37.062862
-46.206488,182,37.46423
-61.27976,137,37.60553
-29.554936,98,37.703174
-98.285637,208,37.957096
-85.550387,112,38.075257
-18.956485,83,38.167564
-79.928804,130,38.40865
-30.046933,126,38.635913
-65.766151,109,39.105174
-65.948073,101,39.200494
-192.109903,125,39.333306
-72.885187,88,39.417871
-258.47383,253,39.763448
-48.655444,76,39.839693
-2.61092,175,40.053432
-42.776527,79,40.138443
-48.950782,90,40.233709
-94.672097,122,40.56566
-64.48157,192,40.77153
-61.127294,77,40.845349
-35.791658,101,40.960234
-115.973021,114,41.077277
-316.227827,157,41.240057
-135.923879,152,41.405865
-232.085409,110,41.516414
-53.857865,109,41.817005
-11.272169,1000,45.905827
-63.964373,129,46.054021
-48.73681,110,46.15876
-48.367861,147,46.316161
-69.487,85,46.400319
-64.877037,130,46.539765
-103.245294,78,46.614424
-30.508063,108,46.724378
-57.472604,79,46.797898
-84.19765,82,46.876107
-44.911671,92,47.155698
-50.890231,90,47.241181
-185.17061,165,47.417408
-305.358032,112,47.554692
-171.085893,133,47.69228
-119.928328,110,47.797915
-75.992841,112,47.906466
-113.855463,78,47.986553
-25.228659,1000,50.757657
-39.490882,81,50.837585
-63.051139,109,51.138266
-288.984445,100,51.233555
-63.188225,126,51.363607
-77.876129,114,51.503843
-69.623253,115,51.626547
-184.490843,136,51.791684
-90.531879,108,51.918965
-196.977869,129,52.070447
-105.622504,118,52.182637
-159.56351,82,52.45062
-198.148977,160,52.625311
-126.989761,93,52.713442
-38.185844,97,52.814024
-42.783668,105,52.913483
-29.24843,88,53.003319
-10.806091,132,53.142747
-28.389656,109,53.252964
-136.083545,187,53.460311
-86.360591,92,53.753549
-92.735812,77,53.826422
-275.284867,111,53.936523
-285.285993,172,54.129369
-73.696135,1000,56.862957
-55.650702,135,57.025615
-16.958511,156,57.190068
-141.120872,119,57.310938
-165.781948,173,57.504986
-148.356015,120,57.895649
-77.525054,149,58.072398
-151.403209,116,58.190158
-75.006189,169,58.375304
-67.800512,165,58.547953
-65.879135,107,58.650666
-62.566454,1000,62.052555
-66.465745,136,62.191723
-233.428345,194,62.656434
-206.555192,141,62.837177
-71.322798,87,62.931724
-108.653937,213,63.192491
-35.59312,94,63.284666
-44.666013,163,63.468333
-94.672897,212,63.743028
-82.894772,143,64.150961
-55.696634,128,64.288656
-63.869866,98,64.38507
-81.671295,177,64.58587
-42.469116,198,64.79751
-122.179897,160,64.977354
-152.701745,280,65.53569
-100.211002,115,65.644795
-79.595016,129,65.78107
-121.502016,95,65.871113
-10.087962,126,66.006989
-77.315928,120,66.129109
-110.051635,125,66.252046
-53.911103,90,66.342245
-83.097861,134,66.666139
-107.981893,98,66.767484
-182.822353,182,66.978642
-163.329764,131,67.111888
-175.632382,117,67.228108
-37.298215,122,67.354723
-71.119181,117,67.471907
-59.566382,99,67.583956
-14.52156,143,68.018311
-182.085501,143,68.186672
-176.095969,102,68.28668
-49.651389,92,68.385172
-47.140444,97,68.480358
10.26694,160,68.641916
-23.10841,95,68.738312
-218.498778,121,68.85222
-95.149986,124,68.980502
-15.559182,1000,72.148246
-47.691981,82,72.231866
-66.008956,118,72.547599
-52.513265,114,72.662676
-143.510455,169,72.838107
-78.527288,74,72.906903
3.743168,1000,76.287218
-101.725621,153,76.460973
-9.689312,177,76.651364
-104.796447,180,76.857876
-42.984623,130,77.206076
-65.459858,105,77.31256
-21.522104,90,77.400634
-30.940014,171,77.584147
-93.762881,123,77.703406
-25.046327,172,77.887651
-38.024084,102,77.990405
-90.112372,142,78.132661
-65.813138,96,78.448065
-161.201979,171,78.624658
-57.871265,91,78.712373
-90.99902,120,78.831896
-181.814435,201,79.064233
-42.918999,92,79.153121
-85.071271,112,79.275995
3.290628,170,79.474456
-106.856968,151,79.843889
-68.044299,152,80.00005
-68.777215,136,80.134917
-105.572319,186,80.347861
-34.30877,81,80.428791
-59.692439,101,80.528149
-81.079833,99,80.622346
-73.310192,142,80.784017
-41.803524,88,81.064186
-100.906875,109,81.17187
43.9581,1000,85.065886
-60.473491,201,85.293249
-36.908898,122,85.4214
-45.223493,122,85.548898
-4.798109,97,85.644967
-26.70505,102,85.744878
-31.689935,100,85.861624
-61.07731,90,85.951038
-19.233718,159,86.323783
24.988567,106,86.429698
-53.838859,100,86.528007
-12.815906,80,86.606278
-10.808208,129,86.745302
14.025957,160,86.902104
-53.736494,84,86.988495
-46.775477,142,87.154047
-40.520075,172,87.540873
14.122,1000,89.998486
-10.822465,127,90.131114
33.431173,86,90.213023
-31.906476,110,90.324907
-31.413132,138,90.468658
-54.463842,115,90.580766
-14.245395,113,90.690236
16.578312,99,90.807922
-37.139297,154,90.967769
-1.251871,140,91.304055
32.591481,156,91.474547
-10.293324,130,91.612921
19.946203,161,91.782752
-7.201326,111,91.89125
-40.159023,129,92.046811
-39.761264,154,92.218003
20.417958,111,92.540159
-56.509463,202,92.765056
-9.361459,181,92.97444
-61.447945,177,93.162743
-133.056253,175,93.375036
11.047328,95,93.478941
-33.568014,145,93.633576
-25.964888,190,94.038919
-18.126536,145,94.186532
-60.497331,241,94.480196
-102.580375,158,94.649086
27.22864,147,94.824138
9.322417,201,95.251722
-21.021851,153,95.415354
47.147094,1000,99.429076
38.265027,184,99.639617
22.043573,168,99.820913
11.23418,100,99.926018
-5.354405,193,100.153468
-36.181306,261,100.697709
-38.403209,188,100.912513
-50.490703,184,101.112084
-100.851991,200,101.321149
45.859249,117,101.480328
-3.392457,163,101.663576
-15.880186,165,102.031748
-1.333614,184,102.232465
-7.670316,108,102.346113
-68.210637,253,102.663713
35.543087,133,102.824014
-23.200753,238,103.14998
47.022246,124,103.506711
-107.213707,387,104.12892
-132.813896,235,104.459203
-38.85257,1000,107.928348
-56.883489,1000,111.045677
7.598559,1000,114.231718
-0.276548,1000,117.943368
-26.021656,224,118.228041
24.250674,203,118.483174
-7.651651,384,119.685396
-24.087719,1000,124.389319
-4.630896,1000,128.4348
-102.794197,387,128.978173
-36.899067,367,129.775084
-87.461609,231,130.095532
-99.272932,1000,133.253707
-123.022582,545,134.610919
-29.028164,1000,137.998355
13.094035,1000,141.761096
45.589467,1000,144.548951
-124.213135,1000,147.579716
22.316638,1000,150.991664
