r,l,t
-34.369648,1000,0.955087
-79.280098,1000,15.336065
-50.619932,1000,31.353575
-22.470863,1000,47.03627
-59.678198,1000,62.443321
-27.127164,1000,77.968258
76.289977,481,94.121745
-15.373327,1000,101.917447
-78.353965,1000,118.223244
-79.104907,1000,134.86737
-40.194841,1000,151.758231
-52.901575,1000,168.637071
93.88086,234,184.941182
-44.953512,1000,189.231785
93.272982,303,205.581817
91.571114,309,210.655526
96.179228,455,215.890061
89.444316,325,223.542422
90.472269,337,229.071618
92.640161,246,234.713952
87.111765,357,238.954024
94.186346,333,244.940973
-9.325249,1000,250.890003
84.525906,266,267.358834
95.912645,143,271.774246
81.423166,244,274.280124
95.714856,158,278.327783
91.912878,352,281.084934
85.715458,674,287.171706
90.46956,130,298.19116
95.072019,154,300.383004
86.955011,234,303.027155
79.004403,333,307.045815
94.053656,109,312.527959
90.617417,124,314.385421
83.603343,246,316.568346
89.783942,205,320.765693
45.640456,773,324.614053
89.01988,134,337.362239
85.197768,222,339.646187
89.383361,133,343.347923
93.004001,129,345.570089
89.057729,182,347.768868
94.505787,117,350.80004
94.304752,214,352.80993
90.860563,145,356.36237
94.733685,184,358.811556
89.442167,163,361.913356
95.87997,143,364.656007
89.293448,151,367.055666
87.420649,167,369.583361
92.345314,114,372.35429
85.471203,182,374.321688
94.152749,74,377.369472
94.179727,71,378.648188
91.474484,145,379.887834
94.379174,70,382.267522
94.781247,67,383.442012
94.12141,70,384.560628
94.756488,70,385.737931
94.545717,77,386.91772
94.383929,67,388.209624
94.716968,71,389.325383
94.653018,72,390.51021
94.839918,68,391.733158
94.22992,69,392.888059
95.53195,71,394.05276
95.210691,81,395.285628
94.637917,69,396.657931
95.270706,70,397.82478
94.264924,70,399.004177
93.721195,70,400.190731
95.515731,78,401.415025
94.787576,70,402.742018
94.18176,76,403.945151
94.225772,73,405.236076
95.643512,74,406.484609
94.857034,71,407.741961
94.051317,73,408.964222
94.841999,74,410.207893
94.676667,74,411.450313
95.021003,77,412.719462
93.353589,72,414.023387
93.935482,77,415.216875
94.806308,73,416.522083
94.592881,70,417.747
91.530828,162,418.968035
94.610205,71,421.627813
93.871596,74,422.827629
94.639531,74,424.075415
93.525141,80,425.324977
93.886547,72,426.670491
93.536168,79,427.874895
93.600693,77,429.223523
93.906606,77,430.532733
94.384025,71,431.825206
93.582744,71,433.03057
93.724299,77,434.214361
94.907509,85,435.515266
92.772558,75,436.973951
95.165782,92,438.291721
92.908005,75,439.858327
93.422816,77,441.150743
92.83701,74,442.449172
94.175787,78,443.714216
93.754888,72,445.014452
94.827924,91,446.273841
92.856949,74,447.79818
93.104992,75,449.034486
93.450662,73,450.285177
94.204084,72,451.511343
94.108784,72,452.736912
92.560898,78,453.960202
93.443274,73,455.264992
93.77829,77,456.494818
94.095248,80,457.797097
92.818626,75,459.136171
94.459604,74,460.410219
94.70138,71,461.690135
94.442741,86,462.942721
93.885722,76,464.392526
94.524053,88,465.685216
93.346338,80,467.167492
94.449322,84,468.527393
93.485395,82,469.945812
92.256127,85,471.352948
92.248208,81,472.770094
93.625094,74,474.126402
94.058973,87,475.364147
93.234306,83,476.831419
93.436476,75,478.231312
93.97316,83,479.534427
93.383556,94,480.954729
94.587885,72,482.534456
92.277448,81,483.757708
94.245645,74,485.129022
93.745026,75,486.389942
93.754796,87,487.65657
93.970783,89,489.121711
88.160442,144,490.663815
92.448222,81,493.084151
88.388248,160,494.514309
93.443045,76,497.267545
94.971642,74,498.593739
92.921092,84,499.875619
93.819049,90,501.295894
93.216145,94,502.828324
92.598571,83,504.395003
93.125101,79,505.801747
93.883095,90,507.139487
91.993054,82,508.642462
92.317776,80,510.017405
92.491573,84,511.372317
93.149266,78,512.787036
88.450863,153,514.175129
93.78164,76,516.720722
88.517174,146,518.047462
93.283128,82,520.477575
87.587468,149,521.91308
68.333036,383,524.568091
92.710821,150,530.970965
92.184862,85,533.483101
93.456442,84,534.902014
89.544233,144,536.37975
92.6095,84,538.779863
51.891608,679,540.541372
-75.500094,1000,552.358794
-78.919246,1000,569.445901
80.126833,295,586.29938
64.453479,483,591.470703
-70.269581,1000,600.054973
-72.748781,1000,617.324496
73.980169,421,634.282165
-29.355266,1000,641.981183
63.370179,554,659.191557
-56.450899,1000,669.243199
-42.854563,1000,686.954144
