r,l,t
-51.648399,1000,0.808205
-52.144482,1000,1.861206
-49.272252,1000,2.725766
-54.651681,1000,3.615114
-50.081793,1000,4.618258
-51.788335,1000,5.504178
-51.59445,1000,6.363776
-50.454793,1000,7.521775
-50.329294,1000,8.867509
-52.316281,1000,10.299281
-50.734021,1000,11.933792
-54.025792,1000,13.845937
-49.7111,1000,15.438953
-50.646078,1000,17.234055
-47.966804,1000,18.842395
-46.057961,1000,20.577839
-47.787253,1000,21.638896
-50.755735,1000,22.526711
-47.171691,1000,23.395772
-46.551176,1000,24.273986
-49.316811,1000,25.136066
-48.492141,1000,25.999096
-46.938782,1000,26.896263
-44.999347,1000,27.776812
-44.525125,1000,28.646977
-44.553602,1000,29.525625
-42.851628,1000,30.394027
-40.694145,1000,31.252051
-43.492755,1000,32.111705
-43.244452,1000,33.027812
-41.384054,1000,33.897225
-40.043128,1000,34.771792
-39.054613,1000,35.636116
-37.180727,1000,36.501478
-38.936729,1000,37.369505
-34.216962,1000,38.235534
-35.624821,1000,39.09583
-32.191146,1000,39.968199
-32.240915,1000,40.834296
-31.47097,1000,41.69656
-32.201142,1000,42.567813
-30.632835,1000,43.43428
-29.270688,1000,44.089761
-28.815568,1000,44.948907
-28.694841,1000,45.812527
-25.99843,1000,46.678286
-26.343535,1000,47.53984
-25.925605,1000,48.402882
-27.301975,1000,49.269113
-26.122047,1000,50.146365
-24.315529,1000,51.012173
-22.943734,1000,51.88796
-23.678876,1000,52.784854
-22.494061,1000,53.66427
-21.446499,1000,54.529558
-21.531269,1000,55.40296
-21.582603,1000,56.276744
-20.521634,1000,57.153004
-21.657715,1000,58.025969
-19.972199,1000,58.883567
-19.453238,1000,59.759251
-19.061874,1000,60.623945
-19.328644,1000,61.497216
-19.043422,1000,62.378595
-19.090068,1000,63.261821
-18.433176,1000,64.140901
-17.977672,1000,65.008812
-17.004591,1000,65.873427
-15.880589,1000,66.73657
-16.267261,1000,67.602571
-14.601051,1000,68.465448
-16.650478,1000,69.348059
-15.301411,1000,70.220855
-14.111074,1000,71.140839
-14.110677,1000,72.059166
-13.889816,1000,72.950619
-13.331562,1000,73.811674
-12.415483,1000,74.694725
-12.813072,1000,75.581457
-12.549687,1000,76.445471
-12.284586,1000,77.320516
-12.183205,1000,78.182262
-11.669617,1000,79.053288
-10.971227,1000,79.915885
-11.263503,1000,80.787588
-11.00649,1000,81.456551
-10.972044,1000,82.322661
-10.740715,1000,83.180494
-10.806473,1000,84.052173
-10.450711,1000,84.922152
-9.521593,1000,85.79068
-9.28944,1000,86.664603
-9.609605,1000,87.541006
-9.060945,1000,88.405919
-8.75405,1000,89.263351
-9.017697,1000,90.147511
-8.822287,1000,91.015681
-8.879359,1000,91.891768
-8.299239,1000,92.767557
-8.283037,1000,93.645426
-8.333562,1000,94.514351
-7.758971,1000,95.389216
-7.973048,1000,96.282434
-7.679602,1000,97.169195
-7.117173,1000,98.033815
-7.483157,1000,98.916644
-6.753678,1000,99.78216
-6.400658,1000,100.636672
-6.448042,1000,101.51478
-6.443874,1000,102.720397
-6.04678,1000,103.595879
-6.159727,1000,104.464622
-6.187075,1000,105.338473
-5.743036,1000,106.21894
-5.554426,1000,107.097252
-5.628778,1000,107.968779
-5.565295,1000,108.832128
-4.68456,1000,109.699424
-4.930564,1000,110.574198
-4.688911,1000,111.445666
-4.8509,1000,112.325869
-5.040331,1000,113.217078
-4.764218,1000,114.098916
-4.486961,1000,114.959877
-4.671777,1000,115.839029
-4.599806,1000,116.715592
-4.274059,1000,117.611144
-4.33338,1000,118.289376
-3.863282,1000,119.535188
-4.013107,1000,120.398624
-4.07201,1000,121.274386
-3.907264,1000,122.148081
-3.86599,1000,123.020571
-3.581033,1000,123.890541
-3.596764,1000,124.747942
-3.215675,1000,125.61928
-3.238474,1000,126.501336
-3.386191,1000,127.381413
-2.856932,1000,128.955925
-3.167153,1000,129.851548
-3.062693,1000,130.762208
-3.358225,1000,131.664036
-3.384212,1000,132.538234
-2.757955,1000,133.406194
-2.883761,1000,134.278616
-2.727749,1000,135.153381
-2.761199,1000,136.022328
-2.693756,1000,136.902325
-2.570085,1000,137.764648
-2.678684,1000,138.646332
-2.544884,1000,139.507269
-2.437806,1000,140.380042
-2.375776,1000,141.255748
-2.172826,1000,142.138068
-2.402401,1000,143.012786
-2.288355,1000,143.879624
-2.13183,1000,144.74723
-2.169188,1000,145.614492
-2.155571,1000,146.481648
-2.157543,1000,147.367941
-2.061098,1000,148.245853
-2.031371,1000,149.117979
-2.059068,1000,149.991095
-1.923253,1000,150.853625
-1.97247,1000,151.718364
-1.794035,1000,152.601137
-1.831864,1000,153.464235
-1.703469,1000,154.326409
-1.755173,1000,155.205952
-1.612602,1000,156.088293
-1.617003,1000,156.747496
-1.612844,1000,157.609249
-1.652298,1000,158.477085
-1.350701,1000,159.347623
-1.577406,1000,160.227178
-1.417639,1000,161.08296
-1.479344,1000,161.960634
-1.410332,1000,162.820642
-1.32286,1000,163.698276
-1.382416,1000,164.578953
-1.313022,1000,165.451963
-1.280805,1000,166.328703
-1.333276,1000,167.192919
-1.279077,1000,168.068244
-1.279983,1000,168.934848
-1.19445,1000,169.813522
-1.179791,1000,170.690262
-1.163338,1000,171.562013
-1.002452,1000,172.434536
-1.096568,1000,173.294729
-0.971449,1000,174.171356
-1.072737,1000,175.034492
-1.097351,1000,175.901131
-1.041168,1000,176.764904
-0.979638,1000,177.646035
-1.051347,1000,178.506357
-0.996668,1000,179.381979
-0.913091,1000,180.255716
-0.918259,1000,181.1204
-0.91079,1000,181.983543
-0.848304,1000,182.860706
