r,l,t
-1000.0,1000,0.170351
-1000.0,1000,2.562838
-1000.0,1000,5.136613
-1000.0,1000,7.755466
-1000.0,1000,10.480458
-1000.0,1000,13.136855
-1000.0,1000,15.810959
-1000.0,1000,18.466775
-1000.0,1000,21.246595
-1000.0,1000,24.046137
-1000.0,1000,26.905608
-1000.0,1000,29.70867
-997.0,997,32.584334
-982.0,982,35.365625
-963.0,963,38.155031
-615.0,615,39.958665
-824.0,824,42.355656
-1000.0,1000,45.325629
-1000.0,1000,48.265488
-1000.0,1000,51.262385
-1000.0,1000,54.304759
-658.0,658,56.295261
-840.0,840,58.878239
-518.0,518,60.456348
-344.0,344,61.567178
-407.0,407,62.834323
-492.0,492,64.359623
-375.0,375,65.518733
-300.0,300,66.45817
-730.0,730,68.742069
-285.0,285,69.626749
-585.0,585,71.36468
-330.0,330,72.388845
-884.0,884,75.107227
-389.0,389,76.273982
-600.0,600,78.130968
-367.0,367,79.237649
-173.0,173,79.774616
-179.0,179,80.327335
-108.0,108,80.664289
-247.0,247,81.400816
-289.0,289,82.286442
-344.0,344,83.387984
-259.0,259,84.201311
-209.0,209,84.846023
-198.0,198,85.449201
-540.0,540,87.086268
-341.0,341,88.109538
-346.0,346,89.205913
-403.0,403,90.45997
-267.0,267,91.26481
-548.0,548,92.956987
-142.0,142,93.424699
-304.0,304,94.414663
-347.0,347,95.500864
-223.0,223,96.150434
-407.0,407,97.432297
-304.0,304,98.388334
-495.0,495,99.889636
-247.0,247,100.640179
-181.0,181,101.226768
-316.0,316,102.14997
-279.0,279,103.04246
-442.0,442,104.392882
-452.0,452,105.829169
-353.0,353,106.910718
-230.0,230,107.587731
-238.0,238,108.330115
-174.0,174,108.885396
-152.0,152,109.323817
-138.0,138,109.763552
-128.0,128,110.159772
-260.0,260,110.973913
-153.0,153,111.455507
-179.0,179,112.016935
-575.0,575,113.853212
-150.0,150,114.299719
-143.0,143,114.768016
-177.0,177,115.328228
-215.0,215,116.045081
-134.0,134,116.451279
-153.0,153,116.972828
-145.0,145,117.422175
-111.0,111,117.78427
-246.0,246,118.561124
-144.0,144,119.032167
-263.0,263,119.851608
-223.0,223,120.568715
-173.0,173,121.146961
-437.0,437,122.563018
-226.0,226,123.266721
-175.0,175,123.783216
-151.0,151,124.249935
-202.0,202,124.909317
-140.0,140,125.356662
-207.0,207,126.02648
-191.0,191,126.636061
-161.0,161,127.144617
-232.0,232,127.889322
-178.0,178,128.444357
-179.0,179,129.00507
-185.0,185,129.614319
-144.0,144,130.050891
-111.0,111,130.397851
-149.0,149,130.868889
-139.0,139,131.302776
-276.0,276,132.170788
-443.0,443,133.590305
-123.0,123,133.948998
-277.0,277,134.851003
-242.0,242,135.59283
-116.0,116,135.93684
-134.0,134,136.346955
-307.0,307,137.382363
-286.0,286,138.236866
-231.0,231,138.982
-352.0,352,140.066572
-273.0,273,140.914812
-128.0,128,141.297425
-576.0,576,143.101624
-438.0,438,144.497521
-351.0,351,145.613977
-169.0,169,146.160406
-321.0,321,147.160813
-296.0,296,148.067186
-171.0,171,148.617548
-179.0,179,149.180445
-270.0,270,150.047022
-238.0,238,150.837944
-135.0,135,151.250247
-160.0,160,151.762079
-209.0,209,152.421847
-248.0,248,153.231176
-266.0,266,154.104404
-187.0,187,154.673633
-118.0,118,155.078249
-223.0,223,155.802696
-118.0,118,156.161287
-139.0,139,156.613261
-171.0,171,157.143792
-179.0,179,157.768795
-137.0,137,158.183093
-139.0,139,158.634332
-168.0,168,159.14663
-183.0,183,159.75613
-436.0,436,161.174134
-131.0,131,161.581193
-141.0,141,162.04134
-171.0,171,162.627819
-210.0,210,163.31239
-156.0,156,163.80598
-187.0,187,164.399091
-119.0,119,164.825453
-202.0,202,165.47202
-171.0,171,166.027495
-187.0,187,166.635495
-98.0,98,166.975243
-109.0,109,167.329548
-153.0,153,167.796597
-203.0,203,168.493281
-210.0,210,169.183936
-113.0,113,169.537342
-172.0,172,170.092889
-99.0,99,170.383455
-269.0,269,171.262719
-136.0,136,171.657818
-175.0,175,172.234007
-201.0,201,172.869161
-178.0,178,173.442913
-163.0,163,173.947709
-240.0,240,174.694789
-168.0,168,175.249576
-122.0,122,175.615051
-131.0,131,176.02077
-177.0,177,176.590319
-144.0,144,177.058646
-112.0,112,177.454405
-177.0,177,178.101156
-91.0,91,178.369091
-242.0,242,179.142212
-188.0,188,179.809165
-139.0,139,180.295617
-134.0,134,180.731729
-188.0,188,181.372372
-220.0,220,182.090925
-196.0,196,182.752743
-273.0,273,183.655919
-252.0,252,184.486753
-175.0,175,185.073382
-186.0,186,185.647653
-118.0,118,186.051202
-108.0,108,186.357443
-144.0,144,186.847226
-145.0,145,187.302242
-346.0,346,188.446292
-178.0,178,189.018042
-160.0,160,189.523496
-159.0,159,190.020793
-307.0,307,190.988319
-98.0,98,191.275324
-118.0,118,191.691302
-155.0,155,192.184089
-94.0,94,192.436083
-122.0,122,192.861295
-207.0,207,193.519819
-91.0,91,193.82293
-144.0,144,194.261295
-170.0,170,194.761919
-113.0,113,195.125174
-169.0,169,195.677515
-135.0,135,196.098919
-165.0,165,196.640168
-243.0,243,197.418531
-115.0,115,197.788331
-102.0,102,198.102971
-158.0,158,198.611393
-105.0,105,198.979551
-151.0,151,199.443136
-155.0,155,199.955661
-170.0,170,200.503828
-126.0,126,200.894948
-108.0,108,201.277349
-133.0,133,201.75529
-131.0,131,202.178962
-172.0,172,202.701151
-209.0,209,203.418849
-194.0,194,204.044046
-160.0,160,204.558822
-165.0,165,205.099954
-175.0,175,205.672743
-215.0,215,206.356938
-156.0,156,206.885053
-170.0,170,207.440713
-208.0,208,208.12171
-154.0,154,208.587903
-248.0,248,209.412709
-87.0,87,209.678581
-164.0,164,210.228243
-124.0,124,210.583967
-201.0,201,211.226328
-157.0,157,211.737149
-118.0,118,212.112735
-152.0,152,212.600589
-125.0,125,212.958527
-114.0,114,213.323723
-153.0,153,213.835427
-113.0,113,214.204211
-96.0,96,214.503134
-145.0,145,214.969038
-150.0,150,215.465638
-165.0,165,215.975158
-114.0,114,216.335599
-91.0,91,216.640464
-172.0,172,217.1617
-124.0,124,217.573242
-104.0,104,217.93732
-125.0,125,218.30987
-119.0,119,218.710685
-116.0,116,219.069227
-169.0,169,219.623589
-110.0,110,219.988645
-133.0,133,220.428451
-228.0,228,221.139357
-84.0,84,221.40292
-120.0,120,221.811872
-224.0,224,222.527703
-171.0,171,223.100444
-150.0,150,223.582557
-177.0,177,224.14823
-114.0,114,224.515469
-165.0,165,225.04071
-196.0,196,225.720582
-113.0,113,226.079579
-90.0,90,226.336334
-137.0,137,226.790746
-123.0,123,227.219574
-106.0,106,227.553746
-304.0,304,228.548669
-88.0,88,228.849532
-92.0,92,229.176208
-150.0,150,229.655366
-134.0,134,230.066773
-109.0,109,230.446924
-107.0,107,230.815826
-116.0,116,231.188796
-158.0,158,231.715552
-159.0,159,232.245896
-180.0,180,232.829721
-94.0,94,233.147194
-241.0,241,233.946086
-146.0,146,234.404867
-166.0,166,234.962754
-146.0,146,235.434996
-111.0,111,235.810957
-154.0,154,236.271964
-104.0,104,236.634082
-119.0,119,236.98902
-110.0,110,237.335726
-169.0,169,237.904707
-90.0,90,238.159581
-127.0,127,238.579338
-101.0,101,238.885875
-120.0,120,239.286264
-102.0,102,239.610149
-170.0,170,240.18022
-99.0,99,240.486595
-124.0,124,240.914429
-116.0,116,241.273903
-161.0,161,241.805496
-115.0,115,242.18162
-89.0,89,242.503443
-117.0,117,242.886707
-127.0,127,243.292172
-154.0,154,243.799159
-155.0,155,244.298069
-114.0,114,244.653998
-164.0,164,245.200025
-156.0,156,245.715875
-156.0,156,246.186351
-115.0,115,246.579264
-117.0,117,246.954427
-115.0,115,247.311866
-115.0,115,247.671748
-119.0,119,248.088468
-162.0,162,248.624866
-114.0,114,248.985816
-117.0,117,249.335619
-114.0,114,249.688669
-112.0,112,250.075011
-181.0,181,250.677761
-111.0,111,251.045011
-113.0,113,251.404264
-124.0,124,251.778327
-115.0,115,252.213145
-161.0,161,252.724181
-96.0,96,253.054806
-88.0,88,253.328814
-111.0,111,253.688447
-86.0,86,254.005486
-117.0,117,254.364761
-114.0,114,254.730965
-114.0,114,255.097087
-116.0,116,255.45459
-116.0,116,255.850945
-115.0,115,256.224261
-134.0,134,256.63028
-116.0,116,257.01171
-117.0,117,257.421861
-118.0,118,257.810805
-121.0,121,258.244955
-196.0,196,258.863321
-117.0,117,259.234137
-115.0,115,259.610868
-109.0,109,259.983432
-114.0,114,260.369587
-113.0,113,260.728021
-113.0,113,261.111774
-116.0,116,261.519805
-110.0,110,261.881387
-111.0,111,262.24542
-109.0,109,262.572235
-115.0,115,262.999879
-117.0,117,263.376675
-114.0,114,263.746824
-160.0,160,264.288085
-174.0,174,264.861091
-114.0,114,265.23079
-174.0,174,265.822396
-95.0,95,266.1553
-108.0,108,266.534789
-193.0,193,267.16003
-192.0,192,267.809415
-180.0,180,268.421498
-98.0,98,268.733682
-173.0,173,269.32756
-128.0,128,269.743423
-182.0,182,270.345701
-115.0,115,270.70475
-126.0,126,271.118544
-136.0,136,271.592266
-113.0,113,271.966622
-113.0,113,272.338327
-114.0,114,272.704346
-112.0,112,273.070613
-93.0,93,273.396962
-191.0,191,274.032012
-194.0,194,274.664279
-126.0,126,275.090614
-123.0,123,275.480019
-120.0,120,275.899582
-133.0,133,276.327817
-107.0,107,276.705382
-198.0,198,277.336346
-114.0,114,277.710135
-96.0,96,278.025287
-136.0,136,278.496389
-111.0,111,278.874865
-101.0,101,279.194551
-97.0,97,279.511329
-164.0,164,280.035973
-125.0,125,280.475982
-181.0,181,281.113907
-123.0,123,281.48362
-143.0,143,281.974264
-117.0,117,282.399254
-169.0,169,282.94687
-166.0,166,283.474233
-127.0,127,283.911093
-120.0,120,284.342716
-93.0,93,284.668651
-125.0,125,285.087792
-185.0,185,285.675386
-122.0,122,286.107157
-160.0,160,286.650014
-117.0,117,287.029898
-102.0,102,287.358383
-127.0,127,287.804289
-88.0,88,288.125736
-113.0,113,288.504635
-101.0,101,288.842623
-176.0,176,289.440725
-122.0,122,289.876251
-109.0,109,290.23926
-103.0,103,290.560163
-116.0,116,290.960458
-165.0,165,291.556344
-89.0,89,291.860189
-103.0,103,292.2337
-104.0,104,292.565244
-167.0,167,293.176913
-113.0,113,293.561471
-151.0,151,294.056906
-162.0,162,294.606323
-120.0,120,295.039051
-116.0,116,295.40483
-161.0,161,295.97352
-165.0,165,296.534793
-120.0,120,296.976427
-115.0,115,297.362546
-152.0,152,297.931923
-132.0,132,298.381
-125.0,125,298.834915
-166.0,166,299.40917
-149.0,149,299.914685
-151.0,151,300.470214
-147.0,147,300.980055
-111.0,111,301.374011
-156.0,156,301.941852
-190.0,190,302.572025
-158.0,158,303.123328
-121.0,121,303.546482
-107.0,107,303.936123
-107.0,107,304.284111
-155.0,155,304.83169
-164.0,164,305.395577
-117.0,117,305.831427
-159.0,159,306.344976
-94.0,94,306.67627
-160.0,160,307.232361
-168.0,168,307.841527
-125.0,125,308.301742
-149.0,149,308.799424
-153.0,153,309.344741
-115.0,115,309.730006
-147.0,147,310.248156
-188.0,188,310.915907
-93.0,93,311.200362
-110.0,110,311.583684
-165.0,165,312.2107
-102.0,102,312.558671
-116.0,116,312.959468
-172.0,172,313.60588
-174.0,174,314.248796
-111.0,111,314.666157
-122.0,122,315.071117
-108.0,108,315.476701
-105.0,105,315.87513
-127.0,127,316.325505
-113.0,113,316.7292
-124.0,124,317.191085
-135.0,135,317.671675
-124.0,124,318.124549
-98.0,98,318.493473
-117.0,117,318.90314
-107.0,107,319.298433
-95.0,95,319.64437
-158.0,158,320.202642
-115.0,115,320.605711
-98.0,98,320.956569
-111.0,111,321.34955
-177.0,177,321.976438
-127.0,127,322.419819
-156.0,156,323.015307
-165.0,165,323.600754
-106.0,106,324.010067
-117.0,117,324.412927
-169.0,169,325.001795
-107.0,107,325.389127
-91.0,91,325.729642
-123.0,123,326.177486
-121.0,121,326.59113
-125.0,125,327.026978
-111.0,111,327.405989
-117.0,117,327.799563
-243.0,243,328.655419
-113.0,113,329.046874
-115.0,115,329.487086
-110.0,110,329.831835
-92.0,92,330.172183
-113.0,113,330.56853
-200.0,200,331.317279
-112.0,112,331.722006
-200.0,200,332.400151
-142.0,142,332.919095
-113.0,113,333.305505
-125.0,125,333.759084
-104.0,104,334.164187
-99.0,99,334.512478
-170.0,170,335.096606
-113.0,113,335.48875
-113.0,113,335.913063
-121.0,121,336.376353
-236.0,236,337.243658
-118.0,118,337.644866
-87.0,87,338.002448
-129.0,129,338.454284
-119.0,119,338.868915
-128.0,128,339.321635
-201.0,201,340.064932
-134.0,134,340.50962
-136.0,136,341.03688
-121.0,121,341.438859
-117.0,117,341.839197
-108.0,108,342.23874
-187.0,187,342.924356
-115.0,115,343.33364
-129.0,129,343.791388
-110.0,110,344.196086
-134.0,134,344.659985
-91.0,91,345.002614
-123.0,123,345.46206
-126.0,126,345.924802
-116.0,116,346.337
-166.0,166,346.905012
-121.0,121,347.369643
-137.0,137,347.822331
-95.0,95,348.167904
-119.0,119,348.627736
-118.0,118,349.026152
-124.0,124,349.483792
-109.0,109,349.872896
-112.0,112,350.263751
-115.0,115,350.664916
-114.0,114,351.056655
-114.0,114,351.460404
-119.0,119,351.919718
-136.0,136,352.39661
-117.0,117,352.802644
-117.0,117,353.26379
-180.0,180,353.91711
-126.0,126,354.39447
-162.0,162,354.976578
-120.0,120,355.393688
-121.0,121,355.863215
-109.0,109,356.28593
-111.0,111,356.705322
-122.0,122,357.125678
-120.0,120,357.618255
-135.0,135,358.107452
